Source,Company Name,Website Link,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Ewan Richmond and Helen Richmond Partnership,richmond-ifa.com,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,C D D Financial Services,,,,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,CL FINANCIAL SERVICES (ENNISKILLEN) LTD,clfinancialservices.com,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,M.R. Financial Services,mrfinancial.info,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Stephen Wilson,,,,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Peter Mulrone,petermulronefp.co.uk,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Universal Finance (Omagh) Ltd,universal-finance.co.uk,-,Yes,,2.0
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Bradley Financial Services Limited,,,,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,The Mortgage Advice Centre,themortgageadvicecentre.net,-,Yes,,6.0
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Arkinson Mortgage & Investment Solutions Ltd,arkinson-ifa.co.uk,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Aidan O'Neill,,,,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Wallace Financial Services,,,,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Temple Gray Limited,templegray.co.uk,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Sharon Quinn,sharonquinnfp.co.uk,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=1&pl_m=40,Sean Hurson,,,,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=2&pl_m=40,Strabane Mortgage Centre Ltd,strabanemortgagecentre.net,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=2&pl_m=40,Gerard Moore,partnership.sjp.co.ukpartnergerardmoore,Invalid domain,No,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=2&pl_m=40,Darryl Martin Investments Limited,darrylmartin.co.uk,-,Yes,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=2&pl_m=40,Absolute Protection and Wealth  Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=2&pl_m=40,McGlone & McCabe Estate Agents & Financial Services,mcglonemccabe.com,-,Yes,,5.0
https://financialadvisers.co.uk/financial-planning/enniskillen/?pl_p=2&pl_m=40,B McKernan & Co Ltd,bmckernan.co.uk,-,Yes,,
